  8481880  72714621 426153544 total
    11757    114971    671233 base_dades/etext00/utrkj10.txt
    15328    112946    668624 base_dades/etext99/spzar10.txt
    11248    107819    665494 base_dades/etext97/totlc10.txt
    11385    120600    660274 base_dades/etext00/cyrus10.txt
    11075    111153    655111 base_dades/etext04/8sced10.txt
    11102    117785    654655 base_dades/etext02/8tspv211.txt
    15517    110784    647882 base_dades/etext01/hoend10.txt
    13505    109372    643229 base_dades/etext99/1onwr10.txt
     9647    107281    641591 base_dades/etext05/8rtib10.txt
    13716    113763    638398 base_dades/etext94/rholm10.txt
    12541    113086    636111 base_dades/etext98/2lotj10.txt
    12008    105160    634660 base_dades/etext01/1mrar10.txt
    14503    108112    631552 base_dades/etext95/anide10.txt
    10116    114171    630323 base_dades/etext02/tcosa10.txt
    11259    113537    628444 base_dades/etext02/shrhe10.txt
    16601    101391    618126 base_dades/etext01/6linc11.txt
    10288    111363    617228 base_dades/etext02/8tspv111.txt
    12523    102928    616991 base_dades/etext98/comet10.txt
    11916    112898    613158 base_dades/etext97/2rbnh10.txt
    14966     93952    612881 base_dades/etext05/esper10.txt
    23514     69974    612247 base_dades/etext04/kalev10.txt
    12362    108087    611670 base_dades/etext03/rosry11.txt
    14276    103520    606491 base_dades/etext96/agino10.txt
    10438    106638    604629 base_dades/etext97/gltrv10.txt
    12513    105939    599574 base_dades/etext97/hardt10.txt
    10278    104684    598360 base_dades/etext04/tgovt10.txt
    10652    100265    596807 base_dades/etext04/hbtht10.txt
    10003    103616    595670 base_dades/etext00/poe3v11.txt
    13796     93765    594050 base_dades/etext04/marmn10a.txt
     9405    100091    594010 base_dades/etext04/8vnmm10.txt
    10717    100667    593918 base_dades/etext04/pas8w10.txt
    12397    101840    593683 base_dades/etext94/2000010.txt
    10508     97240    592948 base_dades/etext03/mtlad10.txt
    11676    112757    592833 base_dades/etext93/hfinn12.txt
    11469    104793    592697 base_dades/etext97/nblng10.txt
    13015    106840    590093 base_dades/etext99/advsh12.txt
    12606    103644    587975 base_dades/etext03/rplan10.txt
    12112    104099    586969 base_dades/etext92/anne11.txt
    13636    101822    585849 base_dades/etext00/truss10.txt
     9487     99723    584387 base_dades/etext03/thngl10.txt
     9868    103588    582036 base_dades/etext96/tshak10.txt
    10420     97541    578627 base_dades/etext05/8homr10.txt
    10192    100377    578140 base_dades/etext00/poe2v10.txt
    11509     97950    574230 base_dades/etext04/g138v10.txt
    12609     82251    571718 base_dades/etext04/rnpz810.txt
    12638     93110    570546 base_dades/etext93/moon10.txt
    10071     95799    569143 base_dades/etext03/twtp210.txt
    19936     99085    565977 base_dades/etext97/0ddc809a.txt
    10548     95184    565363 base_dades/etext04/mdntp10.txt
    13939     94048    564074 base_dades/etext02/5wiab10.txt
     9079     96455    561146 base_dades/etext04/8wwrt10.txt
    12715     91820    555252 base_dades/etext96/sjv0410.txt
     9562     94347    548249 base_dades/etext00/poe1v10.txt
     9624    103122    542318 base_dades/etext01/grimm10.txt
    11158     92857    536935 base_dades/etext95/homer10.txt
    10315     87715    535027 base_dades/etext00/hioaj10.txt
     9493     88775    533220 base_dades/etext02/vorow10.txt
     9873     91152    528164 base_dades/etext00/8year10.txt
     8676     91693    525749 base_dades/etext02/ithoa10.txt
    10424     86786    525509 base_dades/etext04/samur10.txt
     8894     87479    525397 base_dades/etext05/8hfld10.txt
     9870     89188    524583 base_dades/etext04/armyl10.txt
    10443     90592    523782 base_dades/etext01/2linc11.txt
     9418     89049    521598 base_dades/etext04/lflcn10.txt
     9604     88708    521104 base_dades/etext99/vstil10.txt
    11167     90766    517271 base_dades/etext93/tarz210.txt
    10149     91313    512529 base_dades/etext92/avon10.txt
    12288     87925    508026 base_dades/etext93/tarzn10.txt
     9180     92015    507965 base_dades/etext03/thjwl10.txt
     9246     85421    507493 base_dades/etext92/scrlt12.txt
    10661     86332    507081 base_dades/etext93/scarp10.txt
    12443     89343    499608 base_dades/etext97/memho11.txt
    10984     86552    498596 base_dades/etext94/phant12.txt
    11266     85051    497678 base_dades/etext96/pcwar10.txt
    10352     76630    497313 base_dades/etext04/8clel10.txt
    12792     80688    495098 base_dades/etext01/7linc11.txt
    10955     81965    493523 base_dades/etext92/plrabn12.txt
    10294     87204    488597 base_dades/etext03/prtrt10.txt
    13340     80704    485079 base_dades/etext02/llake10.txt
     8807     83320    483586 base_dades/etext00/poe4v10.txt
    11486     85877    478620 base_dades/etext96/idyll10a.txt
    10137     85061    477285 base_dades/etext93/gmars12.txt
     8932     81614    476851 base_dades/etext01/1linc11.txt
    10987     80769    473752 base_dades/etext96/ftroy10.txt
     8146     79821    471719 base_dades/etext05/8augr10.txt
    10570     65427    469632 base_dades/etext95/anidl10.txt
     8049     80731    467880 base_dades/etext03/twtp110.txt
     8269     83714    466911 base_dades/etext95/myant11.txt
     8489     79887    461190 base_dades/etext03/dchla10.txt
     7943     78191    458587 base_dades/etext05/lgtrd10.txt
    10669     79043    454379 base_dades/etext00/dmsnd11.txt
    10203     77599    453574 base_dades/etext00/poe5v10.txt
    10901     82429    452868 base_dades/etext94/gardn11.txt
    11897     77103    452141 base_dades/etext98/secad10.txt
    10367     76630    444595 base_dades/etext03/8jrny10.txt
     7647     77118    443400 base_dades/etext93/frank14.txt
     8827     78985    441776 base_dades/etext03/niebl10.txt
    10026     74893    436964 base_dades/etext94/fuman12.txt
    10964     73621    433882 base_dades/etext97/ttnic10.txt
     7450     75305    429936 base_dades/etext03/twtp410.txt
     9579     69910    428211 base_dades/etext04/8rome10.txt
     8136     73208    425524 base_dades/etext05/8hcal10.txt
     7920     79165    423842 base_dades/etext98/mhyde10.txt
     7901     71023    421942 base_dades/etext96/soulb10.txt
     9330     76657    420352 base_dades/etext96/wnbrg11.txt
     7409     68076    420155 base_dades/etext02/jandc10.txt
     8091     74105    419282 base_dades/etext97/wtfng10.txt
     8835     77106    417796 base_dades/etext05/8celt10.txt
     8354     73588    417529 base_dades/etext96/twrdn10.txt
     8116     71939    415213 base_dades/etext99/prppr11.txt
     8807     72454    411472 base_dades/etext93/sawyr11.txt
     6920     66449    408468 base_dades/etext00/beheb10.txt
     9194     69757    406615 base_dades/etext04/8idol10.txt
     7913     67919    404663 base_dades/etext04/chshr10.txt
     7076     65178    404471 base_dades/etext03/bygdv10.txt
     7925     68075    399453 base_dades/etext03/8frml10.txt
     7629     70095    397928 base_dades/etext96/agnsg10.txt
     9359     65227    396097 base_dades/etext05/8josh10.txt
     7602     74827    395827 base_dades/etext04/clckm10.txt
     6709     68048    395591 base_dades/etext94/bfaut10.txt
     8195     73019    395201 base_dades/etext03/jpnft10.txt
     8877     68088    395122 base_dades/etext03/rcddv10.txt
     8617     69898    393768 base_dades/etext01/dblnr11.txt
     7744     69556    393542 base_dades/etext93/pmars13.txt
    11291     69806    393220 base_dades/etext96/oleng10.txt
     9114     70381    388518 base_dades/etext94/treas11.txt
     8247     68703    387413 base_dades/etext05/ovtop10.txt
     8182     64506    385830 base_dades/etext94/80day11.txt
     7598     64287    384372 base_dades/etext03/hhmms11.txt
     6853     63600    379381 base_dades/etext03/chacr10.txt
     6632     67185    379028 base_dades/etext04/bhawk10.txt
     7834     65327    376149 base_dades/etext04/8mala10.txt
     8677     63959    374343 base_dades/etext05/8moor10.txt
     6633     60866    373749 base_dades/etext05/8rheb10.txt
     9179     68178    373556 base_dades/etext01/rshft10.txt
     6365     64503    370255 base_dades/etext01/dscep10.txt
     9740     69108    369189 base_dades/etext95/troic10.txt
     7860     65215    368685 base_dades/etext04/8knck10.txt
     9009     61599    366447 base_dades/etext03/emohh10.txt
     6842     62469    365093 base_dades/etext92/warw12.txt
     6806     60718    362204 base_dades/etext04/8hmvg10.txt
     7141     63748    359139 base_dades/etext99/mcrst11.txt
     6336     63936    358812 base_dades/etext97/1argn10.txt
     8209     63900    358706 base_dades/etext97/1rbnh10.txt
     6699     62523    349616 base_dades/etext02/ssklt10.txt
     6851     61709    348407 base_dades/etext99/mwktm10a.txt
     7328     63330    345956 base_dades/etext05/8eftl10.txt
     5927     61940    345308 base_dades/etext04/tmrcr10.txt
     6889     60212    344583 base_dades/etext95/wwill10.txt
     6759     56085    342477 base_dades/etext05/8shkm10.txt
     9005     59267    342432 base_dades/etext97/vlsng10.txt
     7643     61219    338787 base_dades/etext02/bskrv11a.txt
     6805     55729    337352 base_dades/etext94/sunzu10.txt
